mean_rw_t,var_rw_t,mean_rw_j,var_rw_j
-686.922,38326.575,-344.787,36038.695
-778.332,32766.634,-407.5830078125,27642.83203125
-835.462,29608.518,-457.2850036621094,24285.322265625
-842.876,24155.135,-468.5509948730469,24178.48046875
-806.778,27528.123,-424.5849914550781,31697.404296875
-749.112,46036.384,-371.50299072265625,44216.30859375
-703.227,56295.452,-326.3399963378906,50708.484375
-693.699,54864.704,-319.8680114746094,51905.55078125
-689.183,50373.765,-304.5610046386719,53580.7265625
-679.478,49669.51,-293.07000732421875,54818.703125
-659.347,50018.097,-269.531005859375,55379.8828125
-638.457,50979.756,-249.5189971923828,55178.8359375
-612.619,56241.791,-232.41200256347656,54450.90625
-601.273,54025.232,-217.9309997558593,53296.98046875
-589.14,52850.805,-205.63699340820312,51866.89453125
-577.536,52416.753,-195.7270050048828,50358.9140625
-565.647,51904.632,-186.0590057373047,48896.95703125
-555.654,50862.089,-177.67799377441406,47381.0703125
-555.429,48935.277,-174.3300018310547,45737.359375
-558.645,47232.073,-174.3070068359375,43910.64453125
-558.54,45552.702,-173.52499389648438,42636.171875
-557.591,44419.877,-174.45700073242188,42586.17578125
-556.396,43494.557,-174.40899658203125,41816.76953125
-559.559,43377.224,-179.91900634765625,42433.5390625
-557.481,43045.675,-179.0070037841797,41541.515625
-558.809,42515.317,-181.3600006103516,41056.69140625
-555.877,42615.647,-180.43800354003903,40208.4296875
-550.962,42852.823,-178.06100463867188,39629.1875
-541.42,45713.274,-174.30599975585938,39205.29296875
-532.084,48022.217,-169.9720001220703,38789.40234375
-523.125,50037.316,-166.11199951171875,38235.78125
-511.279,53160.588,-160.84800720214844,37906.67578125
-502.544,55055.015,-157.33900451660156,37325.71484375
-493.494,56796.671,-153.28199768066406,36859.13671875
-485.097,58368.962,-149.3939971923828,36382.515625
-477.304,59448.701,-145.35899353027344,35949.79296875
-470.226,60240.667,-141.63600158691406,35481.71484375
-460.792,62225.549,-137.93699645996094,35073.875
-452.266,64029.543,-134.8179931640625,34625.5859375
-442.538,66062.443,-131.18899536132812,34350.890625
-428.393,66494.185,-122.50399780273438,32550.63671875
-406.139,64376.244,-110.15899658203124,29408.4765625
-384.842,59744.983,-95.9459991455078,24197.79296875
-365.002,56305.324,-83.53900146484375,19939.087890625
-350.443,56636.585,-77.98699951171875,19051.48046875
-339.545,57823.482,-75.11699676513672,18654.521484375
-330.02,59149.682,-73.51200103759766,18720.357421875
-314.611,57681.402,-66.2030029296875,16402.8515625
-299.193,56287.722,-61.41299819946289,14933.63671875
-286.571,54530.662,-56.35699844360352,13278.2685546875
-276.493,54924.544,-55.29499816894531,13367.892578125
-266.948,55914.515,-54.32899856567383,13453.2177734375
-260.096,56901.107,-53.40900039672852,13540.6201171875
-249.349,57221.363,-52.362998962402344,13629.5302734375
