mean_rw_t,var_rw_t,mean_rw_j,var_rw_j
-753.28,15133.576,-311.582,27377.77
-707.593,29134.74,-278.39599609375,45901.48046875
-709.378,24759.09,-302.5150146484375,43808.69921875
-693.768,24098.254,-300.09100341796875,44642.35546875
-684.881,22684.137,-309.1220092773437,44788.21484375
-658.773,25100.786,-289.8550109863281,42683.19921875
-627.828,32381.751,-267.2359924316406,43843.609375
-623.666,35747.632,-273.50299072265625,45594.84375
-598.283,38542.589,-246.552001953125,46348.0234375
-582.302,39293.619,-230.16900634765625,45260.2109375
-562.426,42537.138,-218.6959991455078,44013.12109375
-544.374,44779.784,-205.54299926757807,42958.390625
-537.703,45241.336,-199.302001953125,42633.49609375
-526.905,47195.129,-193.4250030517578,42341.4296875
-525.88,44109.597,-182.61900329589844,41161.4296875
-525.373,41432.354,-173.26300048828125,39905.26171875
-519.822,40069.823,-164.90699768066406,38679.53515625
-515.177,39683.284,-157.2239990234375,37537.40234375
-510.314,38964.738,-150.37899780273438,36408.19140625
-506.007,38349.973,-144.21099853515625,35312.640625
-503.224,37120.295,-138.8800048828125,34203.03515625
-497.256,36487.823,-133.94200134277344,33162.5078125
-493.146,35965.763,-129.343994140625,32189.27734375
-490.135,35184.338,-125.15399932861328,31253.1796875
-488.134,34111.814,-121.3499984741211,30353.361328125
-482.587,34088.257,-117.73600006103516,29515.134765625
-478.371,33758.539,-114.38600158691406,28714.822265625
-474.265,33585.404,-112.24400329589844,28059.140625
-472.37,32997.294,-112.81099700927734,27518.552734375
-469.456,33016.298,-113.31099700927734,27328.228515625
-468.435,32499.647,-114.05500030517578,27000.5
-465.726,32174.87,-113.86299896240234,26585.771484375
-462.652,32051.932,-113.4280014038086,26119.21875
-460.103,32127.525,-114.48699951171876,25850.935546875
-456.275,32053.06,-113.18199920654295,25344.5546875
-455.559,31497.403,-114.23699951171876,24958.892578125
-454.423,30855.541,-115.28199768066406,24545.287109375
-451.705,30761.634,-115.00399780273438,24107.619140625
-448.842,30731.783,-114.09300231933594,23579.8125
-444.946,30373.179,-112.84400177001952,23071.732421875
-431.911,29011.903,-106.33200073242188,21588.775390625
