device: cuda:0
AX-MADDPG
=============================
=1 Env resilient path planning is right ...
=============================
=2 The 24 agents are inited ...
=============================
=3 starting iterations ...
=============================
=4 init tensorboards ...
=================================
[2025-07-03 15:36:31.820] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.8209119439125061, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:36:37.798] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.46656563878059387, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:36:45.845] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.37105491757392883, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:36:54.349] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.3893221318721771, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.2552083695236433e-08
[2025-07-03 15:37:01.749] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.3832222521305084, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:37:07.824] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.31517234444618225, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:37:14.117] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.41395318508148193, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:37:15.818] =============> episode_gone: 0, rew_n: 1004.1802082061768, rew_n_avg_queue_delta: 0.3597343862056732, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:37:22.494] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.4732241630554199, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:37:29.643] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.36626172065734863, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:37:35.913] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.37027016282081604, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:37:42.075] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.29090416431427, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:37:48.375] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.2784355580806732, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:37:54.543] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.4851353168487549, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:37:57.216] =============> episode_gone: 0, rew_n: 1031.4574222564697, rew_n_avg_queue_delta: 0.3799518048763275, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:38:01.914] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.4212076663970947, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:38:09.014] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.44275879859924316, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:38:17.709] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.3282746374607086, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:38:25.703] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.41015008091926575, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:38:34.159] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.3935128152370453, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:38:40.711] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.4138081967830658, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:38:45.239] =============> episode_gone: 0, rew_n: 1012.2212333679199, rew_n_avg_queue_delta: 0.3577767610549927, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:38:47.231] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.5209931135177612, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:38:54.951] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.46725785732269287, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:39:03.219] episode_gone: 0, rew_n: 0.0, rew_n_avg_queue_delta: 0.3728303015232086, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
